Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Source,EID,Reviewer,Reviewer Comments,Reviewer Decision
"Münstermann J., Hübner J., Büntzel J.",57895364900;16233809400;55873256300;,Can Cancer Education Programs Improve Health Literacy Among Deaf and Hard of Hearing Patients: a Systematic Review,2023,Journal of Cancer Education,38,1,,3,15,,,10.1007/s13187-022-02222-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138248637&doi=10.1007%2fs13187-022-02222-3&partnerID=40&md5=35dd86a9a1d5d0c526abca6ef2e3b5b1,"Patients affected from hearing loss face many problems when visiting oncologists. We conducted a systematic review to survey if cancer education programs can promote health literacy among deaf and hard of hearing (DHH) patients. The authors searched two databases for RCTs, and cohort studies with interventions promoting cancer health literacy for adult DHH patients. Risk of bias was assessed with SIGN Methodology Checklist for RCTs, and cohort studies. Significance of mean changes over time, and mean differences between comparison groups were used to present outcomes of each study. Surveyed interventions addressed three domains: cancer knowledge, coping skills, and cancer screening. Key information was gathered and synthesized providing a juxtaposition of the content and presenting important effects in detail. Nine RCTs and seven cohorts with 1865 participants were included. In total, 13 studies showed that cancer health literacy interventions improved mean scores significantly from pre- to post-test measures. There are hints that captioning and written texts may be sufficient for milder forms of hearing loss. Three studies showed that resiliency skill training promotes various domains of well-being. Three studies indicated that educational interventions encourage cancer screening practices. Educational programs are an effective way to promote cancer health literacy among DHH patients to facilitate communication with oncologists. As extent of hearing loss was not assessed, the authors cannot say the degree to which results are applicable to all degrees of hearing loss. To obtain hard data, further studies with more diverse populations, various cancer entities, different methods, and exact hearing loss assessments are required. © 2022, The Author(s).",Cancer; Communication; Deaf; Education; Hard of hearing; Health literacy,health literacy; health promotion; hearing impaired person; hearing impairment; human; neoplasm; Deafness; Health Literacy; Health Promotion; Humans; Neoplasms; Persons With Hearing Impairments,Review,Final,Scopus,2-s2.0-85138248637,Peter,,
"Li B., Qi P., Liu B., Di S., Liu J., Pei J., Yi J., Zhou B.",57215558055;57613607500;55574234335;57532404600;14519272800;57221322968;36095116600;57222344238;,Trustworthy AI: From Principles to Practices,2023,ACM Computing Surveys,55,9,3555803,,,,3.0,10.1145/3555803,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146608362&doi=10.1145%2f3555803&partnerID=40&md5=be423d2ba11b3d2ff832d0f88ce8d927,"The rapid development of Artificial Intelligence (AI) technology has enabled the deployment of various systems based on it. However, many current AI systems are found vulnerable to imperceptible attacks, biased against underrepresented groups, lacking in user privacy protection. These shortcomings degrade user experience and erode people's trust in all AI systems. In this review, we provide AI practitioners with a comprehensive guide for building trustworthy AI systems. We first introduce the theoretical framework of important aspects of AI trustworthiness, including robustness, generalization, explainability, transparency, reproducibility, fairness, privacy preservation, and accountability. To unify currently available but fragmented approaches toward trustworthy AI, we organize them in a systematic approach that considers the entire lifecycle of AI systems, ranging from data acquisition to model development, to system development and deployment, finally to continuous monitoring and governance. In this framework, we offer concrete action items for practitioners and societal stakeholders (e.g., researchers, engineers, and regulators) to improve AI trustworthiness. Finally, we identify key opportunities and challenges for the future development of trustworthy AI systems, where we identify the need for a paradigm shift toward comprehensively trustworthy AI systems. © 2023 Copyright held by the owner/author(s). Publication rights licensed to ACM.",accountability; explainability; fairness; generalization; privacy protection; reproducibility; robustness; transparency; Trustworthy AI,Data acquisition; Data privacy; Life cycle; Robustness (control systems); User interfaces; Accountability; Artificial intelligence systems; Artificial intelligence technologies; Explainability; Fairness; Generalisation; Privacy protection; Reproducibilities; Robustness; Trustworthy artificial intelligence; Transparency,Review,Final,Scopus,2-s2.0-85146608362,Peter,,
Teng M.F.,57946200000;,Effectiveness of captioned videos for incidental vocabulary learning and retention: the role of working memory,2023,Computer Assisted Language Learning,,,,,,,,10.1080/09588221.2023.2173613,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147528969&doi=10.1080%2f09588221.2023.2173613&partnerID=40&md5=9d8ed69954bd1541771c76fbce573090,"Working memory (WM) may be an essential component of incidental vocabulary learning and retention from captioned videos. However, how WM affects young learners’ incidental vocabulary learning under different types of captions remains unclear. The present study employs a between-subject research design. The main purpose is to examine how two types of WM— phonological short-term memory and complex WM—impact vocabulary learning outcomes incidentally learned and retained from three types of captioning: (1) glossed captions (GCs), (2) full captions (FCs), and (3) keyword captions (KCs). A total of 125 young learners (M age = 12.17, SD = 1.06) watched four videos and completed two vocabulary tests administered as pretest, posttest, and delayed tests. After treatment, participants completed two WM tasks: (1) an operation span test for measuring complex WM, and (2) a nonword repetition test for measuring phonological short-term memory. The findings reveal that (1) captioning types, particularly GCs, led to the best outcome in incidental vocabulary learning and retention, and (2) phonological WM provided a more predictive effect on incidental vocabulary learning and retention than complex WM. Phonological and complex WM may have different predictive effects on incidental vocabulary learning and retention under different types of captioning. Relevant implications were discussed based on these results. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",captioned videos; glossed captions; Incidental vocabulary learning; retention; working memory,,Article,Article in Press,Scopus,2-s2.0-85147528969,Peter,,
"Creed C., Al-Kalbani M., Theil A., Sarcar S., Williams I.",6602750527;57192164584;57218577044;36139109600;57200566697;,Inclusive AR/VR: accessibility barriers for immersive technologies,2023,Universal Access in the Information Society,,,,,,,,10.1007/s10209-023-00969-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147372094&doi=10.1007%2fs10209-023-00969-0&partnerID=40&md5=11753bc4f5fb096577de107336395b85,"Augmented and virtual reality (AR/VR) hold significant potential to transform how we communicate, collaborate, and interact with others. However, there has been a lack of work to date investigating accessibility barriers in relation to immersive technologies for people with disabilities. To address current gaps in knowledge, we led two multidisciplinary sandpits with key stakeholders (including academic researchers, AR/VR industry specialists, people with lived experience of disability, assistive technologists, and representatives from national charities and special needs colleges) to collaboratively explore and identify existing challenges with AR and VR experiences. We present key themes that emerged from sandpit activities and map out the interaction barriers identified across a spectrum of impairments (including physical, cognitive, visual, and auditory disabilities). We conclude with recommendations for future work addressing the challenges highlighted to support the development of more inclusive AR and VR experiences. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Accessibility; Augmented reality; Inclusive design; Virtual reality,Assistive technology; Virtual reality; Accessibility; Accessibility barriers; Assistive; Augmented and virtual realities; Current gap; Immersive technologies; Inclusive design; People with disabilities; Special needs; Spectra's; Augmented reality,Article,Article in Press,Scopus,2-s2.0-85147372094,Peter,,
"Ahlin T., Hiddinga A.",56204463600;7801320619;,Technological socialities: The impact of information and communication technologies on belonging among deaf and hard-of-hearing people,2023,Sociology Compass,,,,,,,,10.1111/soc4.13068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147334517&doi=10.1111%2fsoc4.13068&partnerID=40&md5=d0761f61767b9574f433986621efee58,"This review article examines how different types of communication technologies, from the specialized medical to generic social devices, influence belonging and sociality among deaf and hard-of-hearing (DHH) people. The emphasis is on DHH adolescents and young adults who may be impacted differently across countries, given state-specific policies regarding the status of sign language and deaf education, and based on different availability, affordability, and accessibility of communication technologies. We introduce different perspectives on deafness, ranging from pathological to cultural, a heuristic on which we build to explore DHH socialities as complex and evolving. We then analytically review ethnographic research on how cochlear implants impact DHH people's belonging to the “deaf world” and/or the “hearing world,” and how they navigate between these worlds. Then we move on to technologies such as text messages and social media, which enable DHH people to extend their socialities beyond local communities. Belonging is a fluid phenomenon, and technologies which are in a constant process of innovation and development may influence it in complex ways. We argue that to explore questions of belonging, identity, and sociality among DHH people, and how they are shaped by technologies, (visual) ethnographic methods are particularly productive. © 2023 The Authors. Sociology Compass published by John Wiley & Sons Ltd.",cochlear implants; communication technologies; deaf and heard-of-hearing people; deafness; social media; video applications; visual ethnography,,Review,Article in Press,Scopus,2-s2.0-85147334517,Peter,,
"Elsherif M.M., Preece E., Catling J.C.",57193547763;55586012600;8261138100;,Age-of-Acquisition Effects: A Literature Review,2023,Journal of Experimental Psychology: Learning Memory and Cognition,,,,,,,,10.1037/xlm0001215,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147022868&doi=10.1037%2fxlm0001215&partnerID=40&md5=1c34ecd52092d687723ec9c80721ddb9,"Age of acquisition (AoA) refers to the age at which people learn a particular item and the AoA effect refers to the phenomenon that early-acquired items are processed more quickly and accurately than those acquired later. Over several decades, the AoA effect has been investigated using neuroscientific, behavioral, corpus and computational techniques. We review the current evidence for the AoA effect stemming from a range of methodologies and paradigms and apply these findings to current explanations of how and where the AoA effect occurs. We conclude that the AoA effect can be found both in the connections between levels of representations and within these representations themselves, and that the effect itself occurs through the process of the distinct coding of early and late items, together with the nature of the connections between levels of representation. This approach strongly suggests that the AoA effect results from the construction of perceptual-semantic representations and the mappings between representations © 2023 American Psychological Association",Age-of-acquisition; Word frequency; Word production; Word recognition,,Article,Article in Press,Scopus,2-s2.0-85147022868,Peter,,
Espineda M.N.,58075058500;,Social inclusion and the use of sign language inset during the 2019 Philippine SONA,2023,Universal Access in the Information Society,,,,,,,,10.1007/s10209-023-00968-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146692289&doi=10.1007%2fs10209-023-00968-1&partnerID=40&md5=737bf43baded8970d35b4c955047053c,"This phenomenological study, guided by Radcliffe-(1881–1955) Brown's Structural Functionalism Theory, investigated how sign language inset was used for social inclusion during the 2019 Philippine State of the Nation Address on GMA Network, Inc. Eight participants' lived experiences were examined through in-depth interviews. Four major themes emerged: exposure and familiarization with the deaf community culture, which is the Filipino Sign Language (FSL); adjustment of the TV inset size for deaf visual signs recognition and understanding; validation of TV insets interpreting with a deaf consultant; accessibility to communication through clear policy and guidelines of TV inset interpreting. The study concludes that even though the sign language interpreters use FSL, we can only elicit social inclusion by adjusting the size of the TV inset; since the sign language insets require the visual signs of the SLIs, which include hand gestures and facial expressions. Moreover, a better understanding of the signs that consider both schooled and non-schooled Deaf requires the exposure and familiarization of SLIs with the deaf culture. Meanwhile, TV networks should consider adjusting the size of the TV inset, hiring a deaf consultant to validate signing, and ensuring deaf access to communication to integrate them socially. Sign language inset implementation requires a model to follow structurally to be functional. © 2023, The Author(s).",Adjustment of TV inset; Deaf community; Social inclusion; Structural functionalism; Validation of TV inset,Adjustment of TV inset; Deaf community; In-depth interviews; Philippines; Sign language; Sign recognition; Sign understanding; Social inclusion; Structural functionalism; Validation of TV inset; Visual languages,Article,Article in Press,Scopus,2-s2.0-85146692289,Peter,,
"Donaldson A.L., Corbin E., Zisk A.H., Eddy B.",35834000900;58070318700;57211591615;57204708977;,"Promotion of Communication Access, Choice, and Agency for Autistic Students",2023,"Language, Speech, and Hearing Services in Schools",54,1,,140,155,,2.0,10.1044/2022_LSHSS-22-00031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146484561&doi=10.1044%2f2022_LSHSS-22-00031&partnerID=40&md5=fcdcd284b4c3bd3ebe70bb154593fc4e,"Purpose: Families and professionals often consider augmentative and alternative communication (AAC) a “last resort” for persons with communication chal-lenges; however, speaking autistic adults have reported that they would have benefited from access to AAC as children. This tutorial discusses the history of this “last resort” practice and its perpetuation within the medical model of dis-ability. The tutorial focuses on communication access, choice, and agency for autistic students. Method: We provide a brief overview of the AAC community and their preferred terminology, review the history of traditional approaches to research on AAC and autism, and then examine the relationship between disability models and ableism to views of spoken language as a priority of intervention. Studies on this topic are rare, and resisting ableism requires acknowledging and honoring disabled people’s experiences and expertise. Therefore, we promote autistic expertise within the framework of evidence-based practice and discuss the experiences of autistic people and spoken language. Finally, we consider the role of the speech-language pathologist (SLP) in assessment and offer autistic-based strategies and recommendations for communication support. Conclusions: Speaking autistic students who could benefit from AAC may not have access to AAC due to the prioritization of spoken language and lack of awareness of the benefit of AAC. We recommend that SLPs and school-based professionals support and facilitate access, communicative choice, and agency by implementing multimodal communication strategies to include AAC use for autistic students regardless of their spoken language status. Promoting all types of communication and ensuring opportunities for communication across multiple modalities are paramount to a child’s agency and self-determination, as is normalization of AAC. © The Authors.",,adult; autism; child; communication aid; communication disorder; education; human; interpersonal communication; speech disorder; student; Adult; Autistic Disorder; Child; Communication; Communication Aids for Disabled; Communication Disorders; Humans; Speech-Language Pathology; Students,Article,Final,Scopus,2-s2.0-85146484561,Peter,,
"Schlippe T., Fritsche K., Sun Y., Wölfel M.",42062203500;57220856224;57960937900;8870295600;,AI-Based Visualization of Voice Characteristics in Lecture Videos’ Captions,2023,Lecture Notes on Data Engineering and Communications Technologies,154,,,111,124,,,10.1007/978-981-19-8040-4_8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145775125&doi=10.1007%2f978-981-19-8040-4_8&partnerID=40&md5=b9ea2e9657458e53d46d6f34b51af6e4,"More and more educational institutions are making lecture videos available online. Since 100+ empirical studies document that captioning a video improves comprehension of, attention to, and memory for the video [1], it makes sense to provide those lecture videos with captions. However, studies also show that the words themselves contribute only 7% and how we say those words with our tone, intonation, and verbal pace contributes 38% to making messages clear in human communication [2]. Consequently, in this paper, we address the question of whether an AI-based visualization of voice characteristics in captions helps students further improve the watching and learning experience in lecture videos. For the AI-based visualization of the speaker’s voice characteristics in the captions we use the WaveFont technology [3–5], which processes the voice signal and intuitively displays loudness, speed and pauses in the subtitle font. In our survey of 48 students, it could be shown that in all surveyed categories—visualization of voice characteristics, understanding the content, following the content, linguistic understanding, and identifying important words—always a significant majority of the participants prefers the WaveFont captions to watch lecture videos. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",AI in education; Closed captions; Digital humanities; Natural language processing; Speech processing; Subtitles,E-learning; Natural language processing systems; Speech processing; Students; AI in education; Closed caption; Digital humanities; Language processing; Lecture video; Natural language processing; Natural languages; Subtitle; Video captions; Voice characteristics; Visualization,Book Chapter,Final,Scopus,2-s2.0-85145775125,Peter,,
"Zhang M., Hu H., Zhang Z., Li X., Wang Q., Bai X., Zang C.",56056456900;57957266900;57958028200;56969990100;57958391100;13612662300;25629213400;,The effect of lexical predictability on word processing in fast and slow readers during Chinese reading,2023,Acta Psychologica Sinica,55,1,,79,93,,,10.3724/SP.J.1041.2023.00079,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141468542&doi=10.3724%2fSP.J.1041.2023.00079&partnerID=40&md5=257ee466653f73c2c38c9eed7eb0b5ca,"According to the lexical quality hypothesis, high proficient (fast) readers have well-specified lexical representations which enable automatic word identification and less context decoding, while low proficient (slow) readers rely on context for word identification during reading due to their imprecise lexical quality. In contrast, the predictive coding framework assumes that high proficient readers rely more on their reading experience to predict the upcoming context compared to low proficient readers. However, it is still unclear how skilled readers with different levels of reading proficiency rely on context information (e.g., predictability) for word processing during Chinese reading. In two experiments, the present study aimed to investigate individual differences in the use of predictability for word identification by using the eye-tracking technique. In Experiment 1, eye movements of fast and slow readers were recorded while they were reading sentences containing predictable or unpredictable target words, with the aim to investigate the differences in predictability effects between the two groups. Sixty pairs of predictable-unpredictable target words were selected, each of which was embedded into the same sentence frame. Fifteen fast and 15 slow readers, selected from a group of 66 participants based on their reading rates, participated in Experiment 1. In Experiment 2, parafoveal previews of the 60 predictable target words (identical word, visually similar pseudocharacter, unpredictable word or visually dissimilar pseudocharacter) were manipulated by using the boundary paradigm to explore how parafoveal preview influences processing of predictability information in the fast and slow readers. The eye movements of 20 fast and 20 slow readers, selected from a group of 80 participants on the basis of their reading rates, were recorded while they were reading sentences containing predictable target words with different previews in Experiment 2. The results showed that fast readers fixated shorter and less on the target words and were more likely to skip the target words than slow readers. In Experiment 1, although reliable predictability effects with shorter fixations for predictable than unpredictable words were found, it did not interact with reading groups. However, results in Experiment 2 showed robust parafoveal preview effects on the target word which interacted with reading groups. In particular, the two groups had the same first-pass fixation times (i.e., FFD, SFD, GD) at the target words under the identical previews, while slow readers made longer fixations than fast readers at the targets with unpredictable previews or unrelated previews. In addition, fast readers skipped target words at a similar probability under both the identical preview and unpredictable preview conditions, while slow readers were less likely to skip target words with unpredictable previews than identical previews. The current findings indicate that fast and slow readers rely on context to a similar degree during their foveal lexical processing whereas the two groups show different utilization of previews of the predictable word during their parafoveal processing. To be specific, compared to fast readers, slow readers are inefficient in activating the predictable word with a visually similar preview; moreover, slow readers are disturbed more by the unpredictable preview or the visually dissimilar preview for their lexical processing, which suggests that slow readers are less effective in suppressing unrelated or inappropriate information during reading. Such findings provide evidence for the lexical quality hypothesis and are in support of the linguistic-proficiency hypothesis related to individual differences in the E-Z reader model. © 2023, Science Press. All rights reserved.",Chinese reading; fast reader; foveal processing; parafoveal preview; predictability; slow reader,,Article,Final,Scopus,2-s2.0-85141468542,Peter,,
